title,genre,mood,instruments,download_url
Pinckney,컨트리 & 포크,밝게,"['synth', 'drums', 'keys', 'bass', 'electric guitar', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=70a1eb701aea90ed
Scanline,댄스 & 일렉트로닉,밝게,"['808', 'drums', 'synth', 'bass']",https://www.youtube.com/audiolibrary_download?vid=a4a5e214457dd180
Wrong,댄스 & 일렉트로닉,밝게,"['synth', 'drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=e887978289af0143
Get in the Car and Go,락,밝게,"['acoustic guitar', 'drums', 'bass', 'electric guitar', 'piano']",https://www.youtube.com/audiolibrary_download?vid=21beddd0f039f9d0
Computer Bounce,댄스 & 일렉트로닉,밝게,"['strings', 'viola', 'violin', 'cello', 'synth']",https://www.youtube.com/audiolibrary_download?vid=ab69f0219baa6951
Edison,힙합 & 랩,밝게,"['synth', 'bass', 'mallets', '808', 'bells', 'drums']",https://www.youtube.com/audiolibrary_download?vid=7843d9773379d162
Quarter Mix,재즈 및 블루스,밝게,"['bass', 'synth', 'drums', 'piano']",https://www.youtube.com/audiolibrary_download?vid=33103ea33ada5901
80's Vampire Car Chase,영화음악,밝게,"['piano', 'synth', 'drums', 'acoustic guitar', 'strings']",https://www.youtube.com/audiolibrary_download?vid=95596a8de31b8a96
Harpsichord Fugue,클래식,밝게,['strings'],https://www.youtube.com/audiolibrary_download?vid=b4bc185942c801e2
Aquarius,힙합 & 랩,밝게,"['808', 'synth', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=f625ea2c7208b4dd
We Never Lose,힙합 & 랩,밝게,"['synth', 'bass', 'piano', 'electric piano', 'keys', '808', 'drums']",https://www.youtube.com/audiolibrary_download?vid=bab699bfdf214e81
Control,레게,밝게,"['drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=894e7430f0c67812
Stranger,댄스 & 일렉트로닉,밝게,"['rhodes', 'electric piano', 'synth', 'keys', 'drums']",https://www.youtube.com/audiolibrary_download?vid=821d7387da9a0505
Bright Idea,댄스 & 일렉트로닉,밝게,"['kalimba', 'celeste', 'marimba', 'synth', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=c0ee2646de4c10af
Pick Up On This,락,밝게,"['electric guitar', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=63477a257dfbb80b
Adventure Theme,영화음악,밝게,"['strings', 'trumpet']",https://www.youtube.com/audiolibrary_download?vid=d0395b2287ce46e3
Boundless Energy,영화음악,밝게,['piano'],https://www.youtube.com/audiolibrary_download?vid=3d8c8c6a2e86721c
Royal Mountain Breakdown,컨트리 & 포크,밝게,"['acoustic guitar', 'mandolin']",https://www.youtube.com/audiolibrary_download?vid=412f9f87f99f9354
Night Shifter,댄스 & 일렉트로닉,밝게,"['drums', 'synth', 'drum machine']",https://www.youtube.com/audiolibrary_download?vid=de72e2c885f25a06
Sand Castle,아동,밝게,"['bass', 'drums', 'marimba', 'synth', 'piano', 'mallets', 'strings']",https://www.youtube.com/audiolibrary_download?vid=2be830ca144faf99
Upsetter,락,밝게,"['synth', 'drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=a2db5a0acb34a8a1
Stacy and George,락,밝게,"['bass', 'drums', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=aee674c8138e5136
Blue Sky,팝,밝게,"['piano', 'acoustic guitar', 'melodica', 'keys', 'bass', 'drums', 'organ']",https://www.youtube.com/audiolibrary_download?vid=21caf98128c57723
Space Racer,댄스 & 일렉트로닉,밝게,"['electric piano', 'bass', 'percussion', 'drums', 'synth', 'keys', 'violin', 'strings']",https://www.youtube.com/audiolibrary_download?vid=0b9c081db777fb81
Italy Jr.,댄스 & 일렉트로닉,밝게,"['bells', 'drums', 'keys', 'vocal chops', 'synth', 'electric piano', '808']",https://www.youtube.com/audiolibrary_download?vid=123a17d84e4a6cb2
Perrywinkle,컨트리 & 포크,밝게,"['percussion', 'electric guitar', 'acoustic guitar', 'bass']",https://www.youtube.com/audiolibrary_download?vid=7b33bba5a2ebd9d6
Doom,댄스 & 일렉트로닉,밝게,"['drums', 'drum machine', 'synth']",https://www.youtube.com/audiolibrary_download?vid=5e657741adf8204d
Springtime Family Band,아동,밝게,"['drums', 'bass', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=79375f6678538438
Tis the Season,클래식,밝게,['piano'],https://www.youtube.com/audiolibrary_download?vid=4223ee24a27daac6
Uh Oh,댄스 & 일렉트로닉,밝게,"['bass', 'drums', 'synth', 'percussion', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=328ac2bf57619981
All Hail the Queen,컨트리 & 포크,밝게,"['drums', 'electric guitar', 'acoustic guitar', 'bass']",https://www.youtube.com/audiolibrary_download?vid=85f76c03b1ec4060
Memory Card Full,R&B 소울,밝게,"['keys', 'bass', 'drums', 'synth', 'piano', 'electric piano']",https://www.youtube.com/audiolibrary_download?vid=edda2fe8b6361bfc
