title,genre,mood,instruments,download_url
Rock Tune,락,슬픔,"['Electric Guitar', 'Bass', 'Drums', 'Acoustic Guitar', 'Strings', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=d551863a80d21ac4
Some Obsession,재즈 및 블루스,슬픔,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=82a0a89dc089e2ef
Somber,영화음악,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=73635b5a211a980e
5 Cents Back,팝,슬픔,"['Acoustic Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=55099e8dc0e1bb11
Greta Sting,영화음악,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=4f9675019d14e7e6
Flighty Theme,클래식,슬픔,"['Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=db1e9f1c147cd564
Almost a Year Ago (Sting),재즈 및 블루스,슬픔,"['Bass', 'Piano', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=784b6c55cbd600fb
Danse of Questionable Tuning,영화음악,슬픔,"['Piano', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=bb6717e72b0c295a
Cold Morning,팝,슬픔,['Acoustic Guitar'],https://www.youtube.com/audiolibrary_download?vid=e3c84418f4163b17
Taps Bugle Call,클래식,슬픔,['Trumpet'],https://www.youtube.com/audiolibrary_download?vid=7de9092473ef3cf7
Scapes,컨트리 & 포크,슬픔,"['electric guitar', 'bass', 'synth']",https://www.youtube.com/audiolibrary_download?vid=b90dd49db111be64
Disconcerned,영화음악,슬픔,"['Organ', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=6559c1fe0352c899
Duet Musette,컨트리 & 포크,슬픔,"['Strings', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=ce309fb17dbf55be
Called Upon,재즈 및 블루스,슬픔,"['drums', 'bass', 'electric guitar', 'synth', 'piano']",https://www.youtube.com/audiolibrary_download?vid=9e63384c9fea722d
Funky Junky,팝,슬픔,"['Acoustic Guitar', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=55c324de13ff25a2
Death of Kings 2,영화음악,슬픔,"['Trumpet', 'Drums', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=9c2ebff81fe59e79
Longing and Concern,잔잔한 음악,슬픔,"['Synth', 'Drums', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=cf9db64d3018a454
Lover's Stripes,팝,슬픔,"['Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=a1d2ff8808405e2b
Loss,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=5c3d5516de179a51
Impromptu in Blue,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=035435fb6863dcba
Hammock Style,컨트리 & 포크,슬픔,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=65ba87a6fc0ed3a2
Androids Always Escape,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=337f346f9d76072c
Sinking Ship,R&B 소울,슬픔,"['drums', 'bass', 'piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=6372573244b07ba2
Dial M,클래식,슬픔,['Organ'],https://www.youtube.com/audiolibrary_download?vid=faffc5e310ee619f
Earnest,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=2a50a3cccd184a86
Castello Oak,R&B 소울,슬픔,"['Drums', 'Bass', 'Electric Guitar', 'Organ', 'Trumpet', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=4e533997e3f6d141
Lone Harvest,클래식,슬픔,"['Piano', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=248f35c669505b7f
Reflection Pool,잔잔한 음악,슬픔,"['Piano', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=738c49c1fc58d7d2
No Win,락,슬픔,"['Drums', 'Bass', 'Guitar']",https://www.youtube.com/audiolibrary_download?vid=7683fb71c937be22
Desert Sky,팝,슬픔,"['Drums', 'Bass', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=62d2d81401197326
One Down Dog,컨트리 & 포크,슬픔,"['Acoustic Guitar', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=5636d1ae0ee09fb3
Fur Elise (by Beethoven),클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=3d58a2d6b1b4000f
Laendler in C Minor Hess 68,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=db19603b48fce6c6
Museums,락,슬픔,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=326a9d1b0636133c
Good Night,영화음악,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=22ef5300f5487bf4
Boat Floating,영화음악,슬픔,"['Piano', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=4cdf88cece0c53d2
E Minor Prelude,클래식,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=5a2be156aae4cca0
FairyTale Waltz,아동,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=6c57b7b30d34c5e7
Nail Biter,재즈 및 블루스,슬픔,"['Drums', 'Piano', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=2aeef78a6812523b
Renaissance Castle,클래식,슬픔,"['Acoustic Guitar', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=14686f52033520ce
Flood Gates,댄스 & 일렉트로닉,슬픔,"['Drums', 'Synth', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=6c290dcc996eb767
Red Berry,잔잔한 음악,슬픔,"['drums', 'bass', 'piano', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=3e844b4380ecf958
Finals,팝,슬픔,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=48b72f17c11c5637
Laserstart,락,슬픔,"['Piano', 'Synth', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=238d23e024f59a76
Elegy(sad),잔잔한 음악,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=f28611ac54444759
Secret Second Earth,클래식,슬픔,"['Piano', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=d50b376bf6a77c66
